Devices
1000
		PedaleDroite - Force			PedaleDroite - Moment			PedaleDroite - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
9207	0	-31.2383	47.4634	-385.956	1439.66	195.082	-1287.29	0.505453	-3.73012	0
9207	1	-31.6658	46.6249	-383.126	1291.7	217.865	-1113.85	0.568653	-3.37148	0
9207	2	-34.5635	51.7865	-389.881	1268.85	68.8785	-1102.48	0.176666	-3.25446	0
9207	3	-34.0087	46.5115	-383.271	1249.72	204.461	-1024.36	0.533463	-3.26066	0
9208	0	-34.4788	46.4899	-380.453	1299.5	244.248	-876.12	0.641991	-3.41567	0
9208	1	-34.3304	45.3647	-381.789	1237.5	258.502	-861.652	0.67708	-3.24132	0
9208	2	-34.381	45.3789	-380.818	1118.57	325.556	-825.691	0.854887	-2.93729	0
9208	3	-36.4585	45.3052	-381.06	1097.08	247.645	-814.12	0.649886	-2.87902	0
9209	0	-39.1539	44.1595	-378.982	1195.73	249.874	-846.943	0.65933	-3.15511	0
9209	1	-39.5519	42.9847	-371.155	1216.97	237.742	-884.558	0.640546	-3.27887	0
9209	2	-35.4189	43.1247	-371.529	1226.52	254.408	-1092.89	0.68476	-3.30126	0
9209	3	-33.9687	43.1852	-368.672	1140.97	294.176	-1114.22	0.797937	-3.09482	0
9210	0	-33.9987	44.5806	-361.113	994.955	201.684	-970.529	0.558508	-2.75525	0
9210	1	-38.391	41.9883	-358.222	1008.84	159.984	-973.666	0.446604	-2.81624	0
9210	2	-36.2141	41.2494	-359.132	999.447	252.92	-905.882	0.704252	-2.78295	0
9210	3	-35.141	40.8785	-356.912	1028.8	268.472	-851.076	0.752208	-2.88251	0
9211	0	-33.0122	44.3819	-348.425	844.845	232.12	-726.147	0.666199	-2.42475	0
9211	1	-34.1777	39.5223	-356.631	882.465	245.122	-724.78	0.687326	-2.47445	0
9211	2	-38.1822	40.1004	-353.9	791.337	229.359	-686.947	0.648091	-2.23605	0
9211	3	-40.8744	42.9098	-359.284	747.112	152.577	-725.349	0.42467	-2.07945	0
9212	0	-35.4488	37.1328	-346.501	810.802	218.649	-745.212	0.63102	-2.33997	0
9212	1	-32.2913	37.5753	-346.666	843.118	169.604	-933.622	0.489244	-2.43207	0
9212	2	-25.9458	35.109	-346.203	833.527	247.391	-942.586	0.714581	-2.40762	0
9212	3	-31.1819	37.3148	-345.039	649.132	43.5974	-932.333	0.126355	-1.88133	0
9213	0	-29.3663	32.1006	-339.959	645.064	152.227	-753.141	0.447782	-1.89748	0
9213	1	-29.2325	32.6291	-339.92	589.689	89.6633	-684.346	0.263778	-1.73479	0
9213	2	-26.3822	31.8727	-338.243	708.57	188.694	-537.07	0.557865	-2.09486	0
9213	3	-25.9254	34.1327	-338.368	616.882	182.269	-545.974	0.538672	-1.82311	0
9214	0	-24.2373	33.368	-338.592	541.987	200.195	-507.444	0.591259	-1.60071	0
9214	1	-26.0963	32.8003	-337.108	482.691	152.456	-467.84	0.452248	-1.43186	0
9214	2	-28.8395	32.6586	-335.107	522.093	149.756	-418.68	0.44689	-1.55799	0
9214	3	-25.7992	30.6131	-332.623	555.418	278.928	-352.539	0.838573	-1.66981	0
9215	0	-28.7548	35.2922	-338.71	548.001	60.1051	-546.955	0.177453	-1.61791	0
9215	1	-26.0229	32.4293	-332.008	556.275	242.467	-487.479	0.730307	-1.67549	0
9215	2	-26.4461	34.1605	-329.792	517.796	174.014	-562.871	0.527647	-1.57007	0
9215	3	-28.1661	32.7607	-320.518	462.516	160.063	-543.35	0.49939	-1.44303	0
9216	0	-24.0565	30.1211	-318.824	599.941	195.664	-543.826	0.613704	-1.88173	0
