Devices
1000
		PedaleGauche - Force			PedaleGauche - Moment			PedaleGauche - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
9207	0	-11.4646	6.2664	-9.15837	-228.077	-230.692	445.293	-25.1892	24.9037	0
9207	1	-9.91103	2.92239	-10.0403	-186.492	-247.933	383.001	-24.6939	18.5744	0
9207	2	-6.65369	8.01356	-7.405	-309.474	-96.2038	379.273	-12.9917	41.7926	0
9207	3	-8.31153	6.49178	-7.62591	-258.433	-176.285	360.033	-23.1165	33.8888	0
9208	0	-6.25347	8.05307	-4.09211	-277.439	-96.2829	348.487	-23.5289	67.7986	0
9208	1	-7.79484	5.32065	-5.4035	-241.472	-136.226	410.932	-25.2107	44.6881	0
9208	2	-7.07338	6.99122	-6.45273	-289.743	-141.637	355.907	-21.9499	44.9023	0
9208	3	-8.98472	5.05511	-7.44628	-196.282	-172.503	362.04	-23.1664	26.3597	0
9209	0	-7.90664	4.83118	-5.51688	-193.811	-251.854	443.679	-45.6515	35.1306	0
9209	1	-8.75644	5.44351	-1.5066	-187.466	-243.201	392.144	-161.423	124.429	0
9209	2	-6.08991	1.29492	3.7649	-5.20884	-293.494	359.974	77.9553	-1.38352	0
9209	3	-6.98671	5.17055	2.32884	-135.029	-203.209	386.286	87.2576	-57.9812	0
9210	0	-6.97304	3.63577	3.44948	-76.6476	-240.007	320.588	69.5777	-22.22	0
9210	1	-5.24041	6.22919	3.23941	-180.858	-178.006	351.58	54.9501	-55.8307	0
9210	2	-7.63094	5.68944	3.19283	-152.999	-229.401	324.483	71.8489	-47.9198	0
9210	3	-3.70306	7.80312	-1.08081	-235.168	-57.6648	301.3	-53.3535	217.585	0
9211	0	-9.50656	8.51231	-4.49644	-202.711	-138.822	377.418	-30.8737	45.0826	0
9211	1	-11.5973	5.2306	-4.70901	-109.715	-196.398	366.478	-41.7068	23.2989	0
9211	2	-10.1811	5.80771	-2.7216	-144.452	-137.224	444.378	-50.4203	53.0761	0
9211	3	-15.6377	6.46534	-0.640174	-125.816	-324.913	421.858	0	0	0
9212	0	-10.0845	11.0077	-0.302419	-252.649	-299.033	470.636	0	0	0
9212	1	-12.9403	8.90131	-0.63164	-216.149	-195.228	385.369	0	0	0
9212	2	-12.77	6.99873	-3.55644	-112.548	-181.868	401.054	-51.1375	31.6462	0
